2023-03-27 14:03:11,263 : [WARNING]  ####################################### New Training Session #######################################
2023-03-27 14:03:11,263 : [INFO]  Server started , graph ID 1, number of clients 2, number of rounds 6, number of timestamps 93
2023-03-27 14:03:17,061 : [WARNING]  `lr` is deprecated, please use `learning_rate` instead, or use the legacy optimizer, e.g.,tf.keras.optimizers.legacy.Adam.
2023-03-27 14:03:17,207 : [INFO]  Distributed training for streaming graphs started!
2023-03-27 14:03:23,320 : [INFO]  Accepted new connection at 127.0.0.1:35760
2023-03-27 14:03:23,321 : [INFO]  Randomly initialized global model sent to client-new at 127.0.0.1:35760
2023-03-27 14:03:27,003 : [INFO]  Accepted new connection at 127.0.0.1:35770
2023-03-27 14:03:27,003 : [INFO]  Randomly initialized global model sent to client-new at 127.0.0.1:35770
2023-03-27 14:03:49,208 : [INFO]  Initial training: recieved model from client-0 at 127.0.0.1:35760
2023-03-27 14:03:52,356 : [INFO]  Initial training: recieved model from client-1 at 127.0.0.1:35770
2023-03-27 14:03:52,357 : [INFO]  Initial training round 1: aggregated global model sent to client-0 at 127.0.0.1:35760
2023-03-27 14:03:52,357 : [INFO]  Initial training round 1: aggregated global model sent to client-1 at 127.0.0.1:35770
2023-03-27 14:03:52,357 : [INFO]  ____________________________________ Initial training: round 1 finished ____________________________________
2023-03-27 14:04:15,981 : [INFO]  Initial training: recieved model from client-1 at 127.0.0.1:35770
2023-03-27 14:04:16,387 : [INFO]  Initial training: recieved model from client-0 at 127.0.0.1:35760
2023-03-27 14:04:16,388 : [INFO]  Initial training round 2: aggregated global model sent to client-0 at 127.0.0.1:35760
2023-03-27 14:04:16,388 : [INFO]  Initial training round 2: aggregated global model sent to client-1 at 127.0.0.1:35770
2023-03-27 14:04:16,388 : [INFO]  ____________________________________ Initial training: round 2 finished ____________________________________
2023-03-27 14:04:37,498 : [INFO]  Initial training: recieved model from client-1 at 127.0.0.1:35770
2023-03-27 14:04:37,584 : [INFO]  Initial training: recieved model from client-0 at 127.0.0.1:35760
2023-03-27 14:04:37,584 : [INFO]  Initial training round 3: aggregated global model sent to client-0 at 127.0.0.1:35760
2023-03-27 14:04:37,584 : [INFO]  Initial training round 3: aggregated global model sent to client-1 at 127.0.0.1:35770
2023-03-27 14:04:37,584 : [INFO]  ____________________________________ Initial training: round 3 finished ____________________________________
