source,target,timestamp,weight
3,3,6.0,1.0
3,3,16.0,1.0
3,3,26.0,1.0
3,3,32.0,1.0
3,3,33.0,1.0
3,3,49.0,1.0
3,3,56.0,1.0
3,3,65.0,1.0
28,28,74.0,1.0
29,29,76.0,1.0
31,31,83.0,1.0
28,28,84.0,1.0
28,28,85.0,1.0
3,3,89.0,1.0
3,3,96.0,1.0
3,3,98.0,1.0
3,3,102.0,1.0
3,3,104.0,1.0
3,3,107.0,1.0
28,28,112.0,1.0
31,31,117.0,1.0
3,3,119.0,1.0
31,31,122.0,1.0
31,31,124.0,1.0
3,3,133.0,1.0
3,3,136.0,1.0
3,3,146.0,1.0
3,3,150.0,1.0
3,3,152.0,1.0
28,28,160.0,1.0
3,3,167.0,1.0
3,3,170.0,1.0
3,3,171.0,1.0
3,3,174.0,1.0
3,3,176.0,1.0
3,3,179.0,1.0
3,3,182.0,1.0
3,3,185.0,1.0
3,3,186.0,1.0
3,3,189.0,1.0
3,3,191.0,1.0
3,3,194.0,1.0
3,3,197.0,1.0
3,3,202.0,1.0
3,3,205.0,1.0
3,3,212.0,1.0
3,3,219.0,1.0
3,3,222.0,1.0
3,3,224.0,1.0
3,3,239.0,1.0
3,3,240.0,1.0
3,3,247.0,1.0
61,56,251.0,1.0
61,56,254.0,1.0
61,56,256.0,1.0
3,3,270.0,1.0
65,61,271.0,1.0
3,3,273.0,1.0
3,3,287.0,1.0
3,3,296.0,1.0
3,3,298.0,1.0
73,67,301.0,1.0
3,3,304.0,1.0
73,39,305.0,1.0
73,70,307.0,1.0
73,7,308.0,1.0
3,3,311.0,1.0
78,18,321.0,1.0
3,3,322.0,1.0
3,3,329.0,1.0
3,3,339.0,1.0
3,3,340.0,1.0
3,3,342.0,1.0
3,3,345.0,1.0
3,3,346.0,1.0
3,3,347.0,1.0
81,29,351.0,1.0
82,34,352.0,1.0
83,73,355.0,1.0
83,73,356.0,1.0
84,34,358.0,1.0
84,34,360.0,1.0
86,61,366.0,1.0
81,29,370.0,1.0
81,29,373.0,1.0
65,61,377.0,1.0
65,61,379.0,1.0
81,29,380.0,1.0
90,78,382.0,1.0
81,29,388.0,1.0
86,61,396.0,1.0
90,78,398.0,1.0
3,3,401.0,1.0
90,78,402.0,1.0
94,81,405.0,1.0
90,78,406.0,1.0
81,29,407.0,1.0
90,78,408.0,1.0
22,82,412.0,1.0
90,78,414.0,1.0
96,83,417.0,1.0
90,78,418.0,1.0
97,84,422.0,1.0
3,3,425.0,1.0
3,3,434.0,1.0
90,78,435.0,1.0
3,3,436.0,1.0
3,3,439.0,1.0
3,3,440.0,1.0
3,3,442.0,1.0
3,3,444.0,1.0
3,3,450.0,1.0
96,83,452.0,1.0
3,3,457.0,1.0
3,3,462.0,1.0
3,3,465.0,1.0
3,3,466.0,1.0
3,3,468.0,1.0
3,3,471.0,1.0
3,3,474.0,1.0
3,3,478.0,1.0
3,3,480.0,1.0
104,90,482.0,1.0
104,90,484.0,1.0
3,3,496.0,1.0
3,3,499.0,1.0
108,94,502.0,1.0
3,3,503.0,1.0
3,3,505.0,1.0
3,3,509.0,1.0
3,3,512.0,1.0
3,3,515.0,1.0
3,3,518.0,1.0
104,90,522.0,1.0
3,3,525.0,1.0
3,3,527.0,1.0
108,94,530.0,1.0
3,3,549.0,1.0
3,3,551.0,1.0
3,3,555.0,1.0
3,3,558.0,1.0
3,3,568.0,1.0
78,101,570.0,1.0
78,101,571.0,1.0
78,101,575.0,1.0
3,3,576.0,1.0
67,94,586.0,1.0
3,3,604.0,1.0
123,104,610.0,1.0
123,104,619.0,1.0
3,3,626.0,1.0
3,3,630.0,1.0
3,3,638.0,1.0
3,3,644.0,1.0
3,3,650.0,1.0
3,3,660.0,1.0
3,3,667.0,1.0
137,114,672.0,1.0
3,3,673.0,1.0
3,3,684.0,1.0
3,3,690.0,1.0
3,3,695.0,1.0
137,114,697.0,1.0
3,3,700.0,1.0
137,114,701.0,1.0
3,3,704.0,1.0
3,3,706.0,1.0
3,3,712.0,1.0
3,3,729.0,1.0
3,3,731.0,1.0
78,101,735.0,1.0
3,3,738.0,1.0
3,3,741.0,1.0
3,3,752.0,1.0
81,29,766.0,1.0
81,29,767.0,1.0
3,3,768.0,1.0
3,3,771.0,1.0
3,3,773.0,1.0
84,34,780.0,1.0
3,3,782.0,1.0
160,89,783.0,1.0
3,3,784.0,1.0
3,3,788.0,1.0
3,3,798.0,1.0
3,3,802.0,1.0
3,3,805.0,1.0
3,3,807.0,1.0
166,127,808.0,1.0
3,3,811.0,1.0
3,3,814.0,1.0
3,3,816.0,1.0
172,131,824.0,1.0
3,3,825.0,1.0
3,3,830.0,1.0
3,3,834.0,1.0
3,3,838.0,1.0
3,3,848.0,1.0
3,3,854.0,1.0
