source,target,timestamp,weight
5,5,10.0,1.0
27,27,71.0,1.0
34,34,99.0,1.0
35,35,101.0,1.0
27,27,108.0,1.0
34,34,118.0,1.0
27,27,123.0,1.0
42,40,157.0,1.0
43,41,158.0,1.0
44,42,162.0,1.0
42,40,164.0,1.0
34,34,166.0,1.0
46,43,177.0,1.0
47,44,192.0,1.0
49,46,198.0,1.0
47,44,201.0,1.0
51,48,210.0,1.0
51,48,213.0,1.0
53,49,214.0,1.0
55,51,218.0,1.0
47,44,231.0,1.0
58,53,234.0,1.0
62,59,263.0,1.0
66,62,272.0,1.0
67,9,276.0,1.0
62,59,281.0,1.0
62,59,283.0,1.0
62,59,288.0,1.0
73,67,301.0,1.0
34,34,312.0,1.0
34,34,315.0,1.0
76,62,316.0,1.0
82,34,352.0,1.0
84,34,358.0,1.0
84,34,360.0,1.0
85,74,363.0,1.0
87,75,369.0,1.0
91,33,384.0,1.0
76,62,387.0,1.0
91,33,391.0,1.0
95,66,410.0,1.0
95,66,411.0,1.0
76,62,413.0,1.0
66,62,416.0,1.0
66,62,419.0,1.0
98,85,424.0,1.0
95,66,427.0,1.0
66,62,428.0,1.0
98,85,429.0,1.0
95,66,430.0,1.0
66,62,445.0,1.0
100,87,458.0,1.0
100,87,486.0,1.0
105,91,488.0,1.0
111,95,520.0,1.0
111,95,524.0,1.0
76,62,533.0,1.0
76,62,534.0,1.0
112,70,537.0,1.0
113,62,544.0,1.0
76,62,561.0,1.0
76,62,563.0,1.0
118,100,567.0,1.0
85,74,574.0,1.0
27,27,577.0,1.0
27,27,581.0,1.0
67,94,586.0,1.0
27,27,587.0,1.0
118,100,595.0,1.0
120,34,600.0,1.0
118,100,605.0,1.0
118,100,614.0,1.0
67,68,620.0,1.0
66,62,623.0,1.0
66,62,624.0,1.0
76,62,636.0,1.0
76,62,641.0,1.0
132,112,645.0,1.0
118,100,653.0,1.0
118,100,659.0,1.0
135,51,662.0,1.0
135,51,664.0,1.0
118,100,665.0,1.0
118,100,675.0,1.0
139,55,677.0,1.0
118,100,685.0,1.0
76,62,687.0,1.0
95,109,688.0,1.0
76,62,691.0,1.0
95,34,707.0,1.0
146,51,717.0,1.0
147,118,718.0,1.0
146,51,719.0,1.0
149,56,721.0,1.0
149,56,722.0,1.0
149,56,726.0,1.0
120,34,727.0,1.0
150,88,732.0,1.0
118,100,734.0,1.0
152,34,740.0,1.0
66,62,742.0,1.0
154,34,750.0,1.0
66,62,753.0,1.0
156,119,754.0,1.0
118,100,757.0,1.0
76,62,775.0,1.0
84,34,780.0,1.0
118,100,781.0,1.0
161,87,791.0,1.0
161,87,793.0,1.0
165,34,803.0,1.0
112,70,845.0,1.0
176,75,846.0,1.0
147,118,849.0,1.0
112,70,856.0,1.0
112,70,859.0,1.0
112,70,873.0,1.0
112,70,877.0,1.0
182,139,881.0,1.0
112,70,887.0,1.0
112,70,896.0,1.0
112,70,905.0,1.0
112,70,907.0,1.0
112,70,910.0,1.0
187,34,913.0,1.0
188,114,918.0,1.0
189,46,920.0,1.0
188,114,923.0,1.0
189,46,926.0,1.0
112,70,927.0,1.0
76,62,929.0,1.0
76,62,931.0,1.0
188,114,932.0,1.0
76,62,933.0,1.0
112,70,937.0,1.0
182,139,938.0,1.0
112,70,939.0,1.0
189,46,942.0,1.0
182,139,943.0,1.0
95,66,951.0,1.0
76,62,955.0,1.0
198,51,958.0,1.0
199,142,959.0,1.0
200,149,960.0,1.0
201,34,961.0,1.0
199,142,969.0,1.0
169,150,972.0,1.0
207,67,983.0,1.0
210,156,988.0,1.0
211,51,990.0,1.0
211,51,991.0,1.0
210,156,992.0,1.0
213,139,994.0,1.0
210,156,999.0,1.0
182,139,1012.0,1.0
223,160,1016.0,1.0
182,139,1018.0,1.0
182,139,1022.0,1.0
76,62,1023.0,1.0
182,139,1024.0,1.0
182,139,1028.0,1.0
182,139,1030.0,1.0
182,139,1033.0,1.0
182,139,1035.0,1.0
182,139,1036.0,1.0
228,91,1042.0,1.0
228,91,1043.0,1.0
228,91,1050.0,1.0
22,46,1054.0,1.0
220,34,1061.0,1.0
228,91,1064.0,1.0
220,34,1065.0,1.0
228,91,1066.0,1.0
228,91,1070.0,1.0
231,58,1072.0,1.0
228,91,1073.0,1.0
76,62,1092.0,1.0
205,176,1098.0,1.0
51,179,1109.0,1.0
51,179,1111.0,1.0
239,182,1129.0,1.0
243,149,1154.0,1.0
210,156,1155.0,1.0
210,156,1176.0,1.0
233,112,1177.0,1.0
210,156,1178.0,1.0
220,34,1209.0,1.0
248,188,1213.0,1.0
250,189,1224.0,1.0
250,189,1230.0,1.0
210,156,1237.0,1.0
210,156,1246.0,1.0
182,139,1252.0,1.0
210,156,1253.0,1.0
254,192,1254.0,1.0
210,156,1263.0,1.0
254,192,1264.0,1.0
210,156,1285.0,1.0
40,199,1288.0,1.0
262,75,1310.0,1.0
199,203,1326.0,1.0
199,203,1333.0,1.0
17,91,1334.0,1.0
271,91,1353.0,1.0
199,162,1355.0,1.0
273,172,1359.0,1.0
273,172,1360.0,1.0
199,162,1362.0,1.0
199,162,1366.0,1.0
273,172,1367.0,1.0
276,206,1378.0,1.0
277,91,1380.0,1.0
276,206,1381.0,1.0
276,206,1383.0,1.0
276,206,1384.0,1.0
276,206,1386.0,1.0
276,206,1388.0,1.0
199,162,1389.0,1.0
199,162,1390.0,1.0
276,206,1391.0,1.0
276,206,1392.0,1.0
276,206,1393.0,1.0
273,172,1395.0,1.0
276,206,1396.0,1.0
279,140,1399.0,1.0
276,206,1401.0,1.0
273,172,1405.0,1.0
276,206,1409.0,1.0
276,206,1411.0,1.0
277,91,1412.0,1.0
254,128,1413.0,1.0
220,34,1415.0,1.0
273,172,1417.0,1.0
283,213,1423.0,1.0
254,128,1436.0,1.0
205,176,1438.0,1.0
210,156,1442.0,1.0
273,172,1445.0,1.0
273,172,1446.0,1.0
210,156,1448.0,1.0
292,140,1454.0,1.0
293,217,1455.0,1.0
95,66,1458.0,1.0
210,156,1463.0,1.0
210,156,1464.0,1.0
205,176,1466.0,1.0
297,46,1469.0,1.0
297,46,1472.0,1.0
273,172,1478.0,1.0
293,217,1482.0,1.0
299,150,1484.0,1.0
292,140,1486.0,1.0
303,223,1510.0,1.0
307,35,1528.0,1.0
310,17,1539.0,1.0
312,226,1542.0,1.0
308,228,1547.0,1.0
312,226,1549.0,1.0
315,200,1550.0,1.0
308,228,1558.0,1.0
319,145,1559.0,1.0
308,228,1562.0,1.0
315,200,1563.0,1.0
321,147,1564.0,1.0
312,226,1566.0,1.0
323,184,1571.0,1.0
273,172,1572.0,1.0
308,228,1573.0,1.0
273,172,1574.0,1.0
324,184,1575.0,1.0
273,172,1576.0,1.0
308,228,1577.0,1.0
273,172,1578.0,1.0
325,229,1579.0,1.0
308,228,1580.0,1.0
308,228,1583.0,1.0
308,228,1587.0,1.0
331,184,1601.0,1.0
