source,target,weight
7,0,1.0
8,7,1.0
11,10,1.0
12,11,1.0
14,13,1.0
12,11,1.0
14,13,1.0
14,13,1.0
15,14,1.0
12,11,1.0
11,10,1.0
11,10,1.0
23,23,1.0
12,11,1.0
11,10,1.0
12,11,1.0
11,10,1.0
8,7,1.0
32,32,1.0
8,7,1.0
12,11,1.0
14,13,1.0
14,13,1.0
37,37,1.0
14,13,1.0
37,37,1.0
37,37,1.0
14,13,1.0
14,13,1.0
8,7,1.0
12,11,1.0
14,13,1.0
14,13,1.0
41,39,1.0
43,41,1.0
12,11,1.0
45,22,1.0
12,11,1.0
48,45,1.0
48,45,1.0
12,11,1.0
48,45,1.0
48,45,1.0
48,45,1.0
48,45,1.0
8,7,1.0
48,45,1.0
48,45,1.0
48,45,1.0
48,45,1.0
48,45,1.0
48,45,1.0
69,63,1.0
74,68,1.0
75,69,1.0
73,7,1.0
75,69,1.0
75,69,1.0
74,68,1.0
75,69,1.0
79,41,1.0
74,68,1.0
74,68,1.0
80,71,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
85,74,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
93,80,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
93,80,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
102,79,1.0
102,79,1.0
105,91,1.0
75,69,1.0
75,69,1.0
80,93,1.0
75,69,1.0
75,69,1.0
102,79,1.0
75,69,1.0
75,69,1.0
111,95,1.0
102,79,1.0
111,95,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
114,97,1.0
75,69,1.0
14,13,1.0
14,13,1.0
85,74,1.0
119,102,1.0
102,79,1.0
102,79,1.0
102,79,1.0
102,79,1.0
102,79,1.0
102,79,1.0
102,79,1.0
120,34,1.0
12,11,1.0
124,105,1.0
124,105,1.0
12,11,1.0
124,105,1.0
129,109,1.0
124,105,1.0
124,105,1.0
124,105,1.0
39,111,1.0
124,105,1.0
102,79,1.0
124,105,1.0
17,114,1.0
124,105,1.0
22,114,1.0
124,105,1.0
124,105,1.0
124,105,1.0
102,79,1.0
137,114,1.0
140,114,1.0
124,105,1.0
102,79,1.0
137,114,1.0
102,79,1.0
137,114,1.0
143,114,1.0
12,11,1.0
102,79,1.0
12,11,1.0
148,114,1.0
120,34,1.0
140,114,1.0
140,114,1.0
140,114,1.0
12,11,1.0
151,69,1.0
102,79,1.0
102,79,1.0
12,11,1.0
153,119,1.0
102,79,1.0
155,120,1.0
156,119,1.0
102,79,1.0
151,69,1.0
102,79,1.0
12,11,1.0
151,69,1.0
151,69,1.0
151,69,1.0
102,79,1.0
